date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:46	17316/17316	---M--	200	added ('OK')	text/html	etag:%226b23fb49ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/delhi.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/delhi.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:47	17060/17060	---M--	200	added ('OK')	text/html	etag:%22e5155f4dac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/hyderabad.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/hyderabad.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:47	16926/16926	---M--	200	added ('OK')	text/html	etag:%22a152051ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/indore.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/indore.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:47	17050/17050	---M--	200	added ('OK')	text/html	etag:%2259326054ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/jaipur.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/jaipur.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:48	16960/16960	---M--	200	added ('OK')	text/html	etag:%2222999b57ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/kolkata.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/kolkata.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:48	17005/17005	---M--	200	added ('OK')	text/html	etag:%226686c67ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/nashik.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/nashik.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:49	16871/16871	---M--	200	added ('OK')	text/html	etag:%229f83e6bac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/pune.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/pune.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:49	17135/17135	---M--	200	added ('OK')	text/html	etag:%229097fc6eac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/pune-fc-road.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/pune-fc-road.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:49	17561/17561	---M--	200	added ('OK')	text/html	etag:%22254ca07bac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/surat.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/surat.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:50	16606/16606	---M--	200	added ('OK')	text/html	etag:%22e14f1488ac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/trivandrum.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/trivandrum.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:50	16697/16697	---M--	200	added ('OK')	text/html	etag:%222e6648a3b37db1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/vadodara.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/vadodara.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:50	16695/16695	---M--	200	added ('OK')	text/html	etag:%22b2f2dabac1bdb1:0%22	https://www.edwiseinternational.com/study-abroad-consultant/vizag.html	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad-consultant/vizag.html	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:51	142295/142295	---M--	200	added ('OK')	image/jpeg	etag:%221e1b239b59deda1:0%22	https://www.edwiseinternational.com/img/map.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/img/map.jpg	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:51	1733/1733	---M--	200	added ('OK')	application/javascript	etag:%222b44cb803fbdb1:0%22	https://www.edwiseinternational.com/js/contact.js	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/js/contact.js	(from https://www.edwiseinternational.com/study-abroad-consultant/contact.html)
13:48:52	179032/179032	---M--	200	added ('OK')	image/jpeg	etag:%22ca5f9014f1dcda1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-67.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-67.jpg	(from https://www.edwiseinternational.com/blogs/career-oriented-courses-in-canada.html)
13:48:52	74456/74456	---M--	200	added ('OK')	image/jpeg	etag:%227a88e31f1dcda1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-69.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-69.jpg	(from https://www.edwiseinternational.com/blogs/career-oriented-courses-in-canada.html)
13:48:52	94339/94339	---M--	200	added ('OK')	image/jpeg	etag:%22af16cf2690ddda1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-71.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-71.jpg	(from https://www.edwiseinternational.com/blogs/Niagara-College-in-Canada-February-2015.html)
13:48:53	54625/54625	---M--	200	added ('OK')	image/jpeg	etag:%22bfefb12d90ddda1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-73.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-73.jpg	(from https://www.edwiseinternational.com/blogs/Niagara-College-in-Canada-February-2015.html)
13:48:53	95140/95140	---M--	200	added ('OK')	image/jpeg	etag:%2258ca38d0d9da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-44.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-44.jpg	(from https://www.edwiseinternational.com/blogs/Top-10-universities-in-Canada-for-Hospitality-Jan-2020.html)
13:48:53	56413/56413	---M--	200	added ('OK')	image/jpeg	etag:%224cf1f8f99de1da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-101.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-101.jpg	(from https://www.edwiseinternational.com/blogs/Top-10-universities-in-Canada-for-Hospitality-Jan-2020.html)
13:48:54	86136/86136	---M--	200	added ('OK')	image/jpeg	etag:%22d2332d1e46edb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-139.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-139.jpg	(from https://www.edwiseinternational.com/blogs/Top-Reasons-to-Pursue-Health-Science-Studies-in-Canada.html)
13:48:54	62729/62729	---M--	200	added ('OK')	image/jpeg	etag:%2292d130f945edb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-139.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-139.jpg	(from https://www.edwiseinternational.com/blogs/Top-Reasons-to-Pursue-Health-Science-Studies-in-Canada.html)
13:48:55	579385/579385	---M--	200	added ('OK')	image/jpeg	etag:%2248a99f8bdd2da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-37.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-37.jpg	(from https://www.edwiseinternational.com/blogs/top-universities-and-colleges-in-australia-for-international-students-dec-2019.html)
13:48:55	73204/73204	---M--	200	added ('OK')	image/jpeg	etag:%2232b6dea1dd4da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-36.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-36.jpg	(from https://www.edwiseinternational.com/blogs/top-universities-and-colleges-in-australia-for-international-students-dec-2019.html)
13:48:56	515296/515296	---M--	200	added ('OK')	image/jpeg	etag:%22e4a75dc4bad2da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-34.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-34.jpg	(from https://www.edwiseinternational.com/blogs/architecture-colleges-in-australia.html)
13:48:56	57827/57827	---M--	200	added ('OK')	image/jpeg	etag:%2273a921971ed4da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-37.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-37.jpg	(from https://www.edwiseinternational.com/blogs/architecture-colleges-in-australia.html)
13:48:57	528211/528211	---M--	200	added ('OK')	image/jpeg	etag:%22422cc8f7bad2da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-31.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-31.jpg	(from https://www.edwiseinternational.com/blogs/top-5-affordable-australian-cities-for-international-students.html)
13:48:57	47762/47762	---M--	200	added ('OK')	image/jpeg	etag:%223334f84a1cd4da1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-32.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-32.jpg	(from https://www.edwiseinternational.com/blogs/top-5-affordable-australian-cities-for-international-students.html)
13:48:58	141041/141041	---M--	200	added ('OK')	image/jpeg	etag:%227c6dd6dce8bdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-127.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-127.jpg	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:48:58	46413/46413	---M--	200	added ('OK')	image/jpeg	etag:%22dc22ade1e8bdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-127.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-127.jpg	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:48:58	244/244	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:18:58%20GMT	https://www.edwiseinternational.com/study-abroad/study-in-USA/USA.aspx	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad/study-in-USA/USA.html	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:48:58	247/247	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:18:58%20GMT	https://www.edwiseinternational.com/study-abroad/study-in-Canada/Canada.aspx	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad/study-in-Canada/Canada.html	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:48:59	250/250	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:18:58%20GMT	https://www.edwiseinternational.com/study-abroad/study-in-Australia/Australia.aspx	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad/study-in-Australia/Australia.html	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:48:59	252/252	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:18:59%20GMT	https://www.edwiseinternational.com/study-abroad/study-in-New-Zealand/New-Zealand.aspx	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad/study-in-New-Zealand/New-Zealand.html	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:49:00	250/250	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:18:59%20GMT	https://www.edwiseinternational.com/study-abroad/study-in-Singapore/Singapore.aspx	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/study-abroad/study-in-Singapore/Singapore.html	(from https://www.edwiseinternational.com/blogs/Know-It-All-About-Pursuing-Hospitality-Management-Courses-In-Australia.html)
13:49:00	62351/62351	---M--	200	added ('OK')	image/jpeg	etag:%22b0b89fce3cfdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-159.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-159.jpg	(from https://www.edwiseinternational.com/blogs/Fly-High-With-an-MBA-in-New-Zealand.html)
13:49:01	58975/58975	---M--	200	added ('OK')	image/jpeg	etag:%2220d51b113dfdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-159.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-159.jpg	(from https://www.edwiseinternational.com/blogs/Fly-High-With-an-MBA-in-New-Zealand.html)
13:49:02	108063/108063	---M--	200	added ('OK')	image/jpeg	etag:%22f08bf5a03dfdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-160.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-bnr-img-160.jpg	(from https://www.edwiseinternational.com/blogs/All-About-Agricultural-Studies-in-New-Zealand.html)
13:49:02	132447/132447	---M--	200	added ('OK')	image/jpeg	etag:%22f04b779b3dfdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-160.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-dtl-img-sml-160.jpg	(from https://www.edwiseinternational.com/blogs/All-About-Agricultural-Studies-in-New-Zealand.html)
